consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
copepod_nauplii,NA,nauplii,0.00181,lakes,3
Salvelinus_fontinalis_large,species,NA,2100,lakes,3
Cyclops_bicuspidatus,species,NA,2.24e-5,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Catostomus_commersoni,species,NA,261,lakes,3
Oncorhynchus_mykiss,species,NA,200,lakes,3
Salvelinus_fontinalis_small,species,NA,188,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Semotilus_corporalis,species,NA,61,lakes,3
Keratella_crassa,species,NA,1.89e-6,lakes,3
Semotilus_atromaculatus,species,NA,51,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Polyarthra_major,species,NA,8.55e-7,lakes,3
Rhinichthys_atratulus,species,NA,20,lakes,3
Ploesoma_truncatum,species,NA,4.92e-7,lakes,3
Conochiloides_unicornis,species,NA,3.18e-7,lakes,3
Luxilus_cornutus,species,NA,8,lakes,3
Trichocerca_cylindrica,species,NA,2.5e-7,lakes,3
Epishura_lacustris,species,NA,1.22e-4,lakes,3
Holopedium_gibberum,species,NA,6.82e-5,lakes,3
Kelicottia_longispina,species,NA,2e-8,lakes,3
Keratella_cochlearis,species,NA,1e-8,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
Daphnia_catawba,species,NA,1e-5,lakes,3
Daphnia_galeata,species,NA,1e-5,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Cyclops_bicuspidatus,species,NA,2.24e-5,lakes,3
Epishura_lacustris,species,NA,1.22e-4,lakes,3
Salvelinus_fontinalis_small,species,NA,188,lakes,3
Oncorhynchus_mykiss,species,NA,200,lakes,3
Salvelinus_fontinalis_large,species,NA,2100,lakes,3
Semotilus_corporalis,species,NA,61,lakes,3
Luxilus_cornutus,species,NA,8,lakes,3
Semotilus_atromaculatus,species,NA,51,lakes,3
