consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Colletheca_mutabilis,species,NA,3.21e-5,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Salvelinus_fontinalis,species,NA,165,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Alona_affinis,species,NA,3.2e-6,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Gastropus_stylifer,species,NA,8.55e-7,lakes,3
Polyarthra_major,species,NA,8.55e-7,lakes,3
Polyarthra_remata,species,NA,1.99e-7,lakes,3
Kelicottia_bostoniensis,species,NA,2e-8,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Salvelinus_fontinalis,species,NA,165,lakes,3
