consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
Leptodora_kindtii,species,NA,0.00456,lakes,3
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Colletheca_mutabilis,species,NA,3.21e-5,lakes,3
Cyclops_vernalis,species,NA,2.24e-5,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Salvelinus_fontinalis,species,NA,180,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Catostomus_commersoni,species,NA,170,lakes,3
Ictalurus_nebulosus,species,NA,59,lakes,3
Keratella_crassa,species,NA,1.89e-6,lakes,3
Conochiloides_dossuarius,species,NA,1.83e-6,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Lepomis_gibbosus,species,NA,35,lakes,3
Trichocerca_multicrinis,species,NA,1.23e-6,lakes,3
Polyarthra_euryptera,species,NA,1.09e-6,lakes,3
Gastropus_stylifer,species,NA,8.55e-7,lakes,3
Polyarthra_vulgaris,species,NA,5.09e-7,lakes,3
Semotilus_atromaculatus,species,NA,11.8,lakes,3
Notemigonus_crysoleucas,species,NA,9.6,lakes,3
Conochiloides_unicornis,species,NA,3.18e-7,lakes,3
Luxilus_cornutus,species,NA,8,lakes,3
Polyarthra_remata,species,NA,1.99e-7,lakes,3
Epishura_lacustris,species,NA,1.22e-4,lakes,3
Holopedium_gibberum,species,NA,6.82e-5,lakes,3
Kelicottia_bostoniensis,species,NA,2e-8,lakes,3
Kelicottia_longispina,species,NA,2e-8,lakes,3
Diaphanosoma_birgei,species,NA,4.01e-5,lakes,3
Keratella_cochlearis,species,NA,1e-8,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
Daphnia_catawba,species,NA,1e-5,lakes,3
Daphnia_dubia,species,NA,1e-5,lakes,3
Daphnia_longiremis,species,NA,1e-5,lakes,3
Daphnia_retrocurva,species,NA,1e-5,lakes,3
Asplanchna_sp.,genus,NA,7.35e-6,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
