consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
Leptodora_kindtii,species,NA,0.00456,lakes,3
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Alona_quadrangularis,species,NA,4.01e-5,lakes,3
Cyclops_vernalis,species,NA,2.24e-5,lakes,3
Salmo_rutta,species,NA,500,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Catostomus_commersoni,species,NA,340,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Salvelinus_fontinalis,species,NA,181,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Pimephales_promelas,species,NA,67,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Gastropus_hyptopus,species,NA,1.23e-6,lakes,3
Gastropus_stylifer,species,NA,8.55e-7,lakes,3
Polyarthra_major,species,NA,8.55e-7,lakes,3
Notemigonus_crysoleucas,species,NA,10,lakes,3
Conochiloides_unicornis,species,NA,3.18e-7,lakes,3
Osmerus_mordax,species,NA,6,lakes,3
Polyarthra_remata,species,NA,1.99e-7,lakes,3
Rhinichthys_atratulus,species,NA,2.3,lakes,3
Holopedium_gibberum,species,NA,6.82e-5,lakes,3
Kelicottia_bostoniensis,species,NA,2e-8,lakes,3
Kelicottia_longispina,species,NA,2e-8,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
Diaphanosoma_birgei,species,NA,4.01e-5,lakes,3
Keratella_cochlearis,species,NA,1e-8,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
Daphnia_catawba,species,NA,1e-5,lakes,3
