consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
Leptodora_kindtii,species,NA,0.00456,lakes,3
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Salmo_rutta,species,NA,749,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Salvelinus_fontinalis,species,NA,493,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Keratella_crassa,species,NA,1.89e-6,lakes,3
Conochiloides_dossuarius,species,NA,1.83e-6,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Catostomus_commersoni,species,NA,108,lakes,3
Semotilus_atromaculatus,species,NA,77,lakes,3
Polyarthra_major,species,NA,8.55e-7,lakes,3
Ictalurus_nebulosus,species,NA,54,lakes,3
Lepomis_gibbosus,species,NA,33,lakes,3
Conochiloides_unicornis,species,NA,3.18e-7,lakes,3
Trichocerca_cylindrica,species,NA,2.5e-7,lakes,3
Notemigonus_crysoleucas,species,NA,12,lakes,3
Epishura_lacustris,species,NA,1.22e-4,lakes,3
Holopedium_gibberum,species,NA,6.82e-5,lakes,3
Kelicottia_bostoniensis,species,NA,2e-8,lakes,3
Kelicottia_longispina,species,NA,2e-8,lakes,3
Diaphanosoma_birgei,species,NA,4.01e-5,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
Daphnia_catawba,species,NA,1e-5,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
Lepomis_gibbosus,species,NA,33,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Epishura_lacustris,species,NA,1.22e-4,lakes,3
Salvelinus_fontinalis,species,NA,493,lakes,3
Salmo_rutta,species,NA,749,lakes,3
Semotilus_atromaculatus,species,NA,77,lakes,3
Leptodora_kindtii,species,NA,0.00456,lakes,3
Notemigonus_crysoleucas,species,NA,12,lakes,3
